AnoMesReferencia;UF;NomeMunicipioSIAFI;CodigoMunicipioSIAFI;meanValor;sdValor;nBeneficios;quantile25;quantile75;quantile01;quantile99;minValor;maxValor
201509;AC;ACRELANDIA; 643;197,42464;108,26011;  1745;119,00;237,00; 35,00;541,00; 35; 816
201509;AC;ASSIS BRASIL; 157;308,38116;165,49849;   913;182,00;387,00; 77,00;772,00; 42; 926
201509;AC;BRASILEIA; 105;196,22001;108,06816;  3068;112,00;236,00; 35,00;570,00; 35; 848
201509;AC;BUJARI; 645;202,87961;112,36527;  1138;119,00;252,00; 35,00;578,00; 35; 702
201509;AC;CAPIXABA; 647;178,98148;103,50686;  1134;112,00;217,00; 35,00;564,72; 35; 848
201509;AC;CRUZEIRO DO SUL; 107;281,55982;154,11622;  9144;156,00;371,00; 70,00;742,00; 35;1096
201509;AC;EPITACIOLANDIA; 651;187,70575;101,95850;  1757;112,00;233,00; 35,00;540,00; 35; 902
201509;AC;FEIJO; 113;298,57034;154,45229;  4713;175,00;386,00; 77,00;772,00; 35;1082
201509;AC;JORDAO; 653;315,02464;173,10381;  1096;182,00;415,00; 70,00;838,50; 35; 914
201509;AC;MANCIO LIMA; 109;293,30233;157,04791;  2527;156,00;386,00; 77,00;772,00; 42;1002
201509;AC;MANOEL URBANO; 155;316,68849;168,08975;  1329;189,00;387,00; 77,00;796,48; 35;1156
201509;AC;MARECHAL THAUMATURGO; 655;300,20882;164,36143;  2289;182,00;393,00; 77,00;782,00; 35;1002
201509;AC;PLACIDO DE CASTRO; 151;174,50859; 89,13791;  1805;112,00;217,00; 35,00;505,44; 35; 640
201509;AC;PORTO ACRE; 649;219,74363;116,25124;  2278;147,00;285,00; 42,00;585,23; 35; 849
201509;AC;PORTO WALTER; 657;303,85115;167,49069;  1216;182,00;404,25; 77,00;794,00; 35;1052
201509;AC;RIO BRANCO; 139;176,68015; 97,65738; 26778;112,00;224,00; 35,00;521,23; 35; 926
201509;AC;RODRIGUES ALVES; 659;226,15189;130,71599;  2245;134,00;286,00; 42,00;672,00; 35; 964
201509;AC;SANTA ROSA DO PURUS; 661;376,66038;172,12021;   636;233,00;464,00; 77,00;821,40; 35; 848
201509;AC;SENA MADUREIRA; 145;253,31856;139,08954;  5076;147,00;322,00; 77,00;686,00; 35; 990
201509;AC;SENADOR GUIOMARD; 153;226,10687;117,24854;  2386;147,00;309,00; 42,00;617,00; 35; 772
201509;AC;TARAUACA; 147;326,53692;174,11599;  5038;189,00;433,75; 77,00;826,00; 35;1080
201509;AC;XAPURI; 149;189,24760;100,63813;  1979;112,00;231,00; 35,00;522,00; 35; 695
201509;AL;AGUA BRANCA;2701;250,27682;141,05854;  2843;147,00;310,00; 70,00;694,00; 35;1002
201509;AL;ANADIA;2703;150,75759; 71,70908;  2735;112,00;182,00; 77,00;425,62; 35; 742
201509;AL;ARAPIRACA;2705;148,21077; 72,26842; 24709;112,00;182,00; 35,00;387,00; 35; 860
201509;AL;ATALAIA;2707;160,58916; 82,85206;  7195;112,00;189,00; 70,00;453,60; 35; 826
201509;AL;BARRA DE SANTO ANTONIO;2709;174,05355; 84,47546;  2689;112,00;217,00; 70,00;458,00; 35; 632
201509;AL;BARRA DE SAO MIGUEL;2711;174,10388; 84,20020;   953;112,00;209,00; 35,00;457,76; 35; 601
201509;AL;BATALHA;2713;215,40098;108,24347;  2843;131,00;282,00; 77,00;516,48; 35; 794
201509;AL;BELEM;2715;176,87815; 93,85536;   714;112,00;217,75; 42,00;554,59; 35; 841
201509;AL;BELO MONTE;2717;222,06528;109,61584;  1486;139,00;287,00; 77,00;540,30; 77; 762
201509;AL;BOCA DA MATA;2719;175,74942; 93,69324;  3895;112,00;218,00; 35,00;520,12; 35; 830
201509;AL;BRANQUINHA;2721;156,75502; 65,83155;  1645;112,00;182,00; 70,00;386,00; 35; 578
201509;AL;CACIMBINHAS;2723;203,16206;107,91204;  2172;124,00;261,00; 77,00;554,00; 35; 996
201509;AL;CAJUEIRO;2725;151,70665; 62,71585;  3351;112,00;182,00; 77,00;386,00; 35; 750
201509;AL;CAMPESTRE; 560;175,35928; 85,40897;  1002;112,00;214,50; 77,00;469,87; 35; 686
201509;AL;CAMPO ALEGRE;2727;129,96651; 54,14399;  7316; 77,00;149,00; 70,00;315,70; 35; 596
201509;AL;CAMPO GRANDE;2729;260,79549;126,42542;  1951;156,00;310,00; 77,00;634,50; 35; 878
201509;AL;CANAPI;2731;235,23363;125,72726;  3497;140,00;293,00; 76,72;652,00; 35; 902
201509;AL;CAPELA;2733;166,96296; 87,20777;  2403;112,00;196,00; 35,00;487,94; 35; 694
201509;AL;CARNEIROS;2735;264,39513;133,55611;  1478;156,00;310,00; 77,00;694,00; 35; 926
201509;AL;CHA PRETA;2737;246,06792;127,19157;  1222;155,00;310,00; 77,00;617,00; 35; 848
201509;AL;COITE DO NOIA;2739;212,00521;104,48171;  1921;135,00;273,00; 77,00;518,60; 35; 886
201509;AL;COLONIA LEOPOLDINA;2741;178,88838;103,49226;  3288;112,00;222,50; 77,00;541,00; 35; 912
201509;AL;COQUEIRO SECO;2743;163,05968; 83,73575;   821;112,00;189,00; 70,00;490,80; 35; 676
201509;AL;CORURIPE;2745;142,64006; 60,00146;  6779;112,00;182,00; 35,00;344,00; 35; 586
201509;AL;CRAIBAS;2889;232,77935;111,16533;  4301;150,00;297,00; 77,00;569,00; 35; 926
201509;AL;DELMIRO GOUVEIA;2747;163,43788; 83,97644;  5707;112,00;189,00; 35,00;464,00; 35; 848
201509;AL;DOIS RIACHOS;2749;142,71012; 66,51930;  2163;105,00;169,00; 77,00;377,14; 35; 712
201509;AL;ESTRELA DE ALAGOAS;2643;204,32739;110,44183;  2972;119,00;262,00; 70,00;585,00; 35; 964
201509;AL;FEIRA GRANDE;2751;163,52484; 76,48883;  4247;112,00;202,00; 77,00;416,54; 35; 846
201509;AL;FELIZ DESERTO;2753;145,72306; 68,54531;   798;112,00;182,00; 35,00;368,54; 35; 498
201509;AL;FLEXEIRAS;2755;167,95442; 87,69669;  2128;112,00;210,00; 77,00;470,73; 35; 750
201509;AL;GIRAU DO PONCIANO;2757;190,51913;101,77136;  6089;112,00;233,00; 77,00;540,00; 35; 848
201509;AL;IBATEGUARA;2759;185,22218; 93,49583;  2660;112,00;224,00; 77,00;508,46; 35; 782
201509;AL;IGACI;2761;232,69511;115,32903;  4828;147,00;301,00; 77,00;593,73; 35; 826
201509;AL;IGREJA NOVA;2763;137,85686; 56,49956;  3982;112,00;154,00; 35,00;314,38; 35; 541
201509;AL;INHAPI;2765;222,77081;126,22917;  3255;132,00;286,00; 70,00;650,00; 35;1010
201509;AL;JACARE DOS HOMENS;2767;151,15070; 70,47837;  1002;112,00;182,00; 70,00;400,97; 35; 651
201509;AL;JACUIPE;2769;144,09561; 59,61151;  1140;112,00;182,00; 77,00;327,49; 35; 496
201509;AL;JAPARATINGA;2771;198,93278;105,90809;  1324;116,00;253,00; 77,00;536,63; 35; 806
201509;AL;JARAMATAIA;2773;180,24646;101,03162;   990;112,00;224,00; 77,00;538,00; 35; 804
201509;AL;JEQUIA DA PRAIA; 562;192,85413;100,14157;  1947;112,00;233,00; 70,00;523,78; 35; 772
201509;AL;JOAQUIM GOMES;2775;194,61178;116,19160;  4093;112,00;233,00; 77,00;617,00; 35;1156
201509;AL;JUNDIA;2777;207,30189;118,80213;   742;119,00;261,75; 77,00;586,43; 35; 772
201509;AL;JUNQUEIRO;2779;163,33629; 77,50784;  3952;112,00;201,25; 77,00;430,94; 35; 694
201509;AL;LAGOA DA CANOA;2781;187,72620; 97,32199;  3404;112,00;233,00; 77,00;477,97; 35; 712
201509;AL;LIMOEIRO DE ANADIA;2783;200,85241;100,16296;  4404;119,00;261,00; 77,00;506,00; 35; 842
201509;AL;MACEIO;2785;142,30428; 67,20466; 80599;112,00;173,00; 35,00;376,00; 35; 924
201509;AL;MAJOR ISIDORO;2787;152,50525; 70,09320;  3236;112,00;182,00; 77,00;408,65; 35; 694
201509;AL;MAR VERMELHO;2797;244,08886;126,55536;   664;155,00;309,00; 77,00;618,00; 35; 926
201509;AL;MARAGOGI;2789;155,64881; 76,59206;  4778;112,00;182,00; 77,00;442,00; 35; 924
201509;AL;MARAVILHA;2791;173,83299; 97,49340;  1964;112,00;210,00; 77,00;491,00; 35; 902
201509;AL;MARECHAL DEODORO;2793;196,24731;107,94680;  6506;112,00;245,00; 35,00;541,00; 35; 877
201509;AL;MARIBONDO;2795;146,28266; 74,58212;  1822;105,00;182,00; 35,00;418,00; 35; 771
201509;AL;MATA GRANDE;2799;178,62245; 95,64941;  3973;112,00;224,00; 77,00;522,00; 35; 946
201509;AL;MATRIZ DE CAMARAGIBE;2801;158,70497; 78,52896;  3864;112,00;189,00; 42,00;442,00; 35; 758
201509;AL;MESSIAS;2803;149,74735; 70,86850;  2173;112,00;182,00; 35,00;398,68; 35; 926
201509;AL;MINADOR DO NEGRAO;2805;202,67509;110,02755;   871;121,00;261,00; 61,60;582,70; 35; 772
201509;AL;MONTEIROPOLIS;2807;181,63244; 91,04917;  1344;112,00;217,00; 77,00;513,57; 35; 650
201509;AL;MURICI;2809;179,82321; 93,70267;  4248;112,00;217,00; 35,00;524,12; 35; 848
201509;AL;NOVO LINO;2811;176,64615; 97,75533;  2080;112,00;224,00; 42,00;521,00; 35; 772
201509;AL;OLHO D'AGUA DAS FLORES;2813;142,54617; 57,07960;  2935;112,00;182,00; 70,00;336,00; 35; 626
201509;AL;OLHO D'AGUA DO CASADO;2815;204,44986;117,93080;  1416;115,00;261,00; 70,00;594,85; 35; 742
201509;AL;OLHO D'AGUA GRANDE;2817;263,80773;126,48997;  1061;156,00;310,00; 35,00;638,00; 35; 990
